nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
EDUARDO PEDROSA CURY,M,88 dias,1 dias,3 dias,73 reuniões,3 reuniões,1 reuniões,19/09/1963,"331.285,52","44.245,79","43.411,00","38.868,35","28.628,41","38.316,02","37.405,99","32.488,40","25.399,98","15.738,89","25.605,38",não contabilizados,não contabilizados,33763.0,"331.285,52","101.582,78","92.109,71","91.148,77","97.477,96","98.965,06","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",não contabilizados,não contabilizados,33763.0,1
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,84 dias,5 dias,3 dias,2 reuniões,40 reuniões,1 reuniões,17/10/1972,"329.401,10","34.083,35","42.566,48","45.258,71","48.013,04","46.806,07","25.355,86","21.639,01","25.533,18","16.566,48","23.578,92",não contabilizados,não contabilizados,33763.0,"329.401,10","110.448,12","108.787,76","97.120,73","102.047,21","105.204,32","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39",não contabilizados,não contabilizados,33763.0,
ELMAR JOSE VIEIRA NASCIMENTO,M,68 dias,0 dias,24 dias,1 reuniões,0 reuniões,0 reuniões,06/07/1970,"401.079,82","11.585,43","41.325,81","49.088,47","60.314,77","42.793,20","47.062,33","37.636,26","47.299,08","35.534,24","28.440,23",não contabilizados,não contabilizados,33763.0,"401.079,82","111.611,09","111.611,09","111.611,09","111.095,09","111.611,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84",não contabilizados,não contabilizados,33763.0,1
ADRIANO ELI CORRÊA,M,82 dias,10 dias,0 dias,42 reuniões,27 reuniões,0 reuniões,13/01/1976,"265.305,28","22.593,30","23.225,37","28.285,66","57.687,80","56.126,53","30.297,57","22.196,45","6.522,28","421,69","17.948,63",não contabilizados,não contabilizados,33763.0,"265.305,28","105.205,60","105.205,60","105.205,60","105.205,60","101.881,14","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61",não contabilizados,não contabilizados,33763.0,
ELIAS VAZ DE ANDRADE,M,82 dias,1 dias,9 dias,81 reuniões,14 reuniões,5 reuniões,04/07/1966,"167.084,01","15.838,58","26.200,21","25.592,46","27.999,68","27.596,14","12.853,99","11.787,89","3.017,22","323,45","15.362,24",não contabilizados,não contabilizados,33763.0,"167.084,01","105.866,83","105.866,83","104.555,04","105.866,83","106.630,73","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38",não contabilizados,não contabilizados,33763.0,
EFRAIM DE ARAÚJO MORAIS FILHO,M,73 dias,10 dias,9 dias,6 reuniões,14 reuniões,5 reuniões,18/03/1979,"265.206,49","31.920,25","54.289,28","52.463,46","51.650,40","42.763,10","7.412,58","9.627,39","8.755,96","1,36","5.893,42",não contabilizados,não contabilizados,33763.0,"265.206,49","111.148,60","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43",não contabilizados,não contabilizados,33763.0,
ENIO JOSÉ VERRI,M,89 dias,1 dias,2 dias,32 reuniões,4 reuniões,0 reuniões,27/03/1961,"350.522,15","38.190,58","37.467,64","68.879,63","38.986,43","43.960,07","29.704,02","25.886,97","22.258,37","24.764,98","20.363,46",não contabilizados,não contabilizados,33763.0,"350.522,15","111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",não contabilizados,não contabilizados,33763.0,
EUCLYDES MARCOS PETTERSEN NETO,M,77 dias,1 dias,14 dias,6 reuniões,13 reuniões,6 reuniões,15/08/1984,"239.749,55","39.458,55","34.224,98","28.593,33","36.303,64","35.945,83","21.880,35","11.556,55","10.510,19","6.865,31","11.508,98",não contabilizados,não contabilizados,33763.0,"239.749,55","101.942,13","110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",não contabilizados,não contabilizados,33763.0,1
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87 dias,5 dias,0 dias,43 reuniões,21 reuniões,0 reuniões,06/08/1994,"323.053,98","24.947,21","28.095,55","42.425,59","43.740,70","54.222,55","37.817,19","41.206,87","22.642,88","16.871,36","11.025,61",não contabilizados,não contabilizados,33763.0,"323.053,98","111.586,88","111.302,18","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",não contabilizados,não contabilizados,33763.0,
EVAIR VIEIRA DE MELO,M,87 dias,2 dias,3 dias,67 reuniões,4 reuniões,1 reuniões,02/04/1972,"316.638,70","38.264,38","46.197,13","62.458,72","38.441,09","43.315,06","24.394,91","23.069,95","14.844,44","2.615,55","22.921,21",não contabilizados,não contabilizados,33763.0,"316.638,70","106.904,01","110.527,26","107.201,84","107.178,21","108.042,26","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",não contabilizados,não contabilizados,33763.0,
ELI DIAS BORGES,M,81 dias,11 dias,0 dias,6 reuniões,11 reuniões,0 reuniões,01/09/1960,"389.429,95","31.188,98","46.066,46","51.592,15","46.239,19","48.724,20","43.313,71","41.770,08","35.826,39","32.575,57","10.263,37",não contabilizados,não contabilizados,33763.0,"389.429,95","111.130,49","111.392,69","111.205,19","108.796,48","110.064,23","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48",não contabilizados,não contabilizados,33763.0,
EMIDIO ALVES MADEIRA JUNIOR,M,80 dias,0 dias,12 dias,16 reuniões,2 reuniões,4 reuniões,10/03/1967,"300.056,22","56.761,57","45.061,77","39.330,09","32.196,96","44.434,07","26.760,94","20.847,93","15.245,77","11.938,26","7.418,86",não contabilizados,não contabilizados,33763.0,"300.056,22","110.980,22","110.980,22","111.528,12","111.617,15","111.623,22","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",não contabilizados,não contabilizados,33763.0,
EROS FERREIRA BIONDINI,M,88 dias,0 dias,4 dias,33 reuniões,14 reuniões,1 reuniões,20/05/1971,"281.611,85","22.401,97","30.438,97","33.405,69","31.526,03","36.712,77","29.487,20","35.290,07","20.709,20","17.992,30","21.750,88",não contabilizados,não contabilizados,33763.0,"281.611,85","90.223,04","90.223,04","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",não contabilizados,não contabilizados,33763.0,
FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88 dias,4 dias,0 dias,19 reuniões,17 reuniões,0 reuniões,22/12/1961,"289.106,94","37.959,25","46.993,70","34.431,36","27.698,63","36.101,94","23.280,97","25.058,29","19.706,66","17.071,96","19.557,03",não contabilizados,não contabilizados,33763.0,"289.106,94","106.849,52","105.995,76","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",não contabilizados,não contabilizados,33763.0,
EXPEDITO GONCALVES FERREIRA NETTO,M,82 dias,1 dias,9 dias,2 reuniões,16 reuniões,3 reuniões,05/10/1988,"222.912,39","14.767,54","30.093,83","33.348,33","30.510,09","25.416,15","18.925,02","27.570,19","12.641,28","1.388,85","26.729,31",não contabilizados,não contabilizados,33763.0,"222.912,39","111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",não contabilizados,não contabilizados,33763.0,
FABIO DE ALMEIDA REIS,M,80 dias,8 dias,4 dias,35 reuniões,1 reuniões,0 reuniões,15/04/1977,"312.655,57","39.865,80","33.581,68","32.144,11","43.493,01","38.648,54","34.772,71","32.086,43","21.185,40","13.796,32","22.090,53",não contabilizados,não contabilizados,33763.0,"312.655,57","108.307,92","109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23",não contabilizados,não contabilizados,33763.0,
FÁBIO LUIZ SCHIOCHET FILHO,M,85 dias,4 dias,3 dias,20 reuniões,5 reuniões,2 reuniões,31/05/1988,"376.844,53","37.195,31","41.648,60","42.043,11","46.815,31","43.700,43","50.091,13","31.304,74","25.939,12","21.593,26","32.923,73",não contabilizados,não contabilizados,33763.0,"376.844,53","111.568,63","111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16",não contabilizados,não contabilizados,33763.0,
FÁBIO RICARDO TRAD,M,90 dias,1 dias,1 dias,88 reuniões,3 reuniões,0 reuniões,18/08/1969,"152.333,76","9.479,45","21.339,35","11.214,78","41.034,10","25.209,13","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50",não contabilizados,não contabilizados,33763.0,"152.333,76","111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",não contabilizados,não contabilizados,33763.0,
FABIO HENRIQUE SANTANA DE CARVALHO,M,90 dias,2 dias,0 dias,75 reuniões,22 reuniões,0 reuniões,19/06/1972,"393.613,32","40.955,79","38.278,23","46.688,34","53.420,14","51.837,95","35.534,63","55.589,55","49.846,87","10.956,64","10.467,67",não contabilizados,não contabilizados,33763.0,"393.613,32","110.763,22","111.436,47","110.870,47","105.066,49","109.456,57","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",não contabilizados,não contabilizados,33763.0,
FAUSTO RUY PINATO,M,77 dias,3 dias,12 dias,43 reuniões,11 reuniões,11 reuniões,01/06/1977,"338.123,53","23.272,69","28.054,73","37.320,63","39.811,88","63.069,18","29.443,84","35.430,36","32.548,24","26.577,30","22.521,07",não contabilizados,não contabilizados,33763.0,"338.123,53","91.753,84","90.661,58","91.078,38","93.641,40","98.083,43","98.203,30","101.733,13","105.365,38","105.151,12","105.151,12",não contabilizados,não contabilizados,33763.0,
EMANUEL PINHEIRO DA SILVA PRIMO,M,70 dias,19 dias,3 dias,11 reuniões,7 reuniões,1 reuniões,05/01/1995,"260.989,20","18.918,90","40.897,04","43.529,50","29.158,03","34.158,66","52.895,35","15.688,43","14.630,60","825,90","6.028,96",não contabilizados,não contabilizados,33763.0,"260.989,20","108.820,92","109.941,35","111.435,25","111.435,25","110.245,56","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",não contabilizados,não contabilizados,33763.0,
FELÍCIO LATERÇA DE ALMEIDA,M,84 dias,1 dias,7 dias,103 reuniões,6 reuniões,6 reuniões,26/05/1967,"350.247,62","33.761,68","41.861,86","62.060,32","40.359,41","38.642,49","19.555,55","31.845,60","22.935,73","20.966,82","36.513,88",não contabilizados,não contabilizados,33763.0,"350.247,62","103.822,74","108.245,62","111.562,78","109.721,17","92.281,25","106.166,20","108.227,55","109.988,01","108.902,30","111.086,75",não contabilizados,não contabilizados,33763.0,
FELIPE AUGUSTO LYRA CARRERAS,M,77 dias,9 dias,6 dias,70 reuniões,33 reuniões,9 reuniões,16/04/1975,"184.012,22","14.274,35","25.074,36","24.477,74","14.515,87","21.740,82","16.037,40","21.745,42","29.974,45","4.715,52","11.456,29",não contabilizados,não contabilizados,33763.0,"184.012,22","108.137,52","111.659,58","111.659,58","111.659,58","111.659,58","111.571,02","109.331,88","111.617,16","111.617,16","111.617,16",não contabilizados,não contabilizados,33763.0,
LUIS FELIPE BONATTO FRANCISCHINI,M,86 dias,4 dias,2 dias,26 reuniões,39 reuniões,1 reuniões,02/10/1991,"290.395,16","36.420,46","40.851,46","28.714,76","44.628,80","52.025,43","41.969,22","15.569,99","12.110,34","3.776,09","14.128,61",não contabilizados,não contabilizados,33763.0,"290.395,16","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","110.754,73","107.237,53","107.993,61",não contabilizados,não contabilizados,33763.0,
FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,86 dias,0 dias,6 dias,30 reuniões,16 reuniões,8 reuniões,29/11/1963,"324.962,29","30.256,20","36.235,51","35.264,16","42.584,56","50.388,49","23.719,29","43.121,12","20.178,34","14.497,37","26.697,48",não contabilizados,não contabilizados,33763.0,"324.962,29","111.574,69","111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73",não contabilizados,não contabilizados,33763.0,
FELIPE RIGONI LOPES,M,86 dias,0 dias,6 dias,84 reuniões,32 reuniões,7 reuniões,13/06/1991,"314.203,45","41.526,20","38.040,74","37.743,41","40.781,58","54.439,33","34.092,96","18.297,10","23.638,57","9.243,23","14.963,23",não contabilizados,não contabilizados,33763.0,"314.203,45","97.934,05","100.493,35","100.959,56","100.959,56","104.522,55","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69",não contabilizados,não contabilizados,33763.0,
JOSÉ CARLOS VERAS DOS SANTOS,M,89 dias,0 dias,3 dias,42 reuniões,33 reuniões,8 reuniões,10/08/1981,"346.470,48","23.450,32","50.658,26","61.233,10","37.074,81","65.132,56","29.707,30","34.668,74","24.844,59","5.992,91","12.474,14",não contabilizados,não contabilizados,33763.0,"346.470,48","102.271,86","100.443,89","100.443,89","105.043,78","108.026,51","106.855,41","109.678,36","109.831,56","109.119,16","111.059,01",não contabilizados,não contabilizados,33763.0,1
CASSIO COELHO ANDRADE,M,70 dias,0 dias,22 dias,36 reuniões,25 reuniões,15 reuniões,12/09/1981,"307.608,33","21.728,53","32.899,83","26.323,38","50.683,51","58.046,30","36.031,58","14.449,73","9.264,77","3.863,84","54.316,86",não contabilizados,não contabilizados,33763.0,"307.608,33","111.653,55","111.594,40","111.574,68","111.574,68","111.574,68","111.574,67","110.238,62","111.444,93","111.465,48","111.465,48",não contabilizados,não contabilizados,33763.0,
CARLOS ALBERTO ROLIM ZARATTINI,M,86 dias,4 dias,2 dias,20 reuniões,19 reuniões,1 reuniões,08/06/1959,"297.688,94","27.151,54","32.367,11","64.118,33","25.278,01","55.777,06","28.292,59","25.051,27","14.054,68","10.433,06","13.858,47",não contabilizados,não contabilizados,33763.0,"297.688,94","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42",não contabilizados,não contabilizados,33763.0,
CELIO ANTONIO DA SILVEIRA,M,88 dias,0 dias,4 dias,31 reuniões,6 reuniões,1 reuniões,19/09/1959,"249.268,07","18.102,06","29.238,30","30.935,93","27.982,39","31.959,23","18.044,17","17.332,28","17.806,01","16.854,28","40.969,73",não contabilizados,não contabilizados,33763.0,"249.268,07","111.671,79","111.671,79","111.671,79","111.671,79","111.671,79","110.968,96","109.631,33","111.578,65","111.441,29","111.441,29",não contabilizados,não contabilizados,33763.0,
CELIO STUDART BARBOSA,M,80 dias,9 dias,3 dias,16 reuniões,16 reuniões,3 reuniões,19/06/1987,"334.771,25","42.405,28","77.088,77","34.915,78","50.390,81","46.271,91","22.564,85","25.601,39","14.660,40","4.343,55","16.378,51",não contabilizados,não contabilizados,33763.0,"334.771,25","111.276,50","111.198,61","111.550,82","111.653,55","111.653,55","107.237,22","111.313,87","108.312,84","107.025,30","107.025,30",não contabilizados,não contabilizados,33763.0,
CELSO MALDANER,M,82 dias,5 dias,5 dias,22 reuniões,1 reuniões,2 reuniões,30/08/1953,"369.913,72","24.680,20","30.121,77","43.359,15","32.327,41","41.007,63","27.013,34","28.086,87","25.892,83","22.602,17","51.620,99",não contabilizados,não contabilizados,33763.0,"369.913,72","111.010,67","111.140,65","111.370,11","108.394,27","109.190,92","109.485,71","110.743,36","111.470,49","111.162,32","110.592,90",não contabilizados,não contabilizados,33763.0,
CELSO UBIRAJARA RUSSOMANNO,M,89 dias,1 dias,2 dias,30 reuniões,3 reuniões,5 reuniões,20/08/1956,"173.626,19","5.918,88","28.583,18","23.440,72","32.244,15","24.383,53","25.438,32","19.954,21","5.651,37","1.220,62","6.791,21",não contabilizados,não contabilizados,33763.0,"173.626,19","96.961,81","98.308,99","100.425,40","103.329,11","103.522,12","104.152,03","107.493,07","105.272,98","103.828,92","103.579,24",não contabilizados,não contabilizados,33763.0,1
CELSO SABINO DE OLIVEIRA,M,77 dias,9 dias,6 dias,28 reuniões,13 reuniões,4 reuniões,29/08/1978,"350.349,09","35.687,11","41.271,47","41.719,51","35.533,17","53.029,49","42.929,38","37.781,33","16.249,92","14.266,05","31.829,16",não contabilizados,não contabilizados,33763.0,"350.349,09","111.111,11","111.280,24","111.379,14","110.872,20","109.110,72","108.438,60","109.562,14","105.568,87","103.896,09","103.640,32",não contabilizados,não contabilizados,33763.0,1
CHARLES FERNANDES SILVEIRA SANTANA,M,90 dias,1 dias,1 dias,35 reuniões,6 reuniões,0 reuniões,15/03/1965,"323.383,76","24.256,26","47.976,68","50.658,86","46.560,45","48.292,35","27.745,84","27.027,00","19.586,71","19.284,11","10.381,44",não contabilizados,não contabilizados,33763.0,"323.383,76","111.439,65","111.389,19","111.507,90","111.507,88","110.522,28","111.149,99","111.433,52","111.507,87","111.507,87","110.870,57",não contabilizados,não contabilizados,33763.0,
CHARLLES THOMACELLI EVANGELISTA,M,88 dias,0 dias,4 dias,27 reuniões,4 reuniões,5 reuniões,27/12/1984,"272.031,91","22.449,08","36.430,49","47.122,47","36.668,39","49.948,09","24.701,10","21.331,84","25.587,97","1.432,93","6.359,55",não contabilizados,não contabilizados,33763.0,"272.031,91","102.330,37","102.010,39","103.658,78","105.928,21","106.859,77","104.041,72","106.811,02","110.258,36","110.258,36","107.229,36",não contabilizados,não contabilizados,33763.0,
CHRISTINO AUREO DA SILVA,M,87 dias,0 dias,5 dias,22 reuniões,7 reuniões,7 reuniões,26/04/1962,"364.350,26","35.707,47","43.836,64","42.917,16","48.167,17","53.926,39","32.622,07","26.143,21","21.788,64","18.368,80","40.258,88",não contabilizados,não contabilizados,33763.0,"364.350,26","111.412,57","111.647,36","107.066,29","111.310,13","111.604,92","111.604,92","111.604,92","111.604,92","111.585,50","111.568,51",não contabilizados,não contabilizados,33763.0,
ANTONIO CEZAR CORREIA FREIRE,M,85 dias,7 dias,0 dias,38 reuniões,39 reuniões,0 reuniões,12/12/1973,"325.836,31","37.003,29","36.167,38","38.256,80","50.290,01","47.505,37","20.781,53","34.316,10","29.210,00","16.683,05","14.273,67",não contabilizados,não contabilizados,33763.0,"325.836,31","111.383,97","110.930,03","111.423,09","111.423,09","111.169,89","111.423,09","110.326,94","111.485,72","111.538,36","111.538,36",não contabilizados,não contabilizados,33763.0,
FRANCISCO JOSÉ D'ANGELO PINTO,M,83 dias,6 dias,3 dias,31 reuniões,34 reuniões,2 reuniões,11/02/1953,"284.234,89","31.896,36","27.273,29","30.877,95","43.620,43","41.207,47","32.636,24","30.772,24","20.679,40","17.903,83","6.817,68",não contabilizados,não contabilizados,33763.0,"284.234,89","111.574,71","111.574,71","110.060,41","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.481,37",não contabilizados,não contabilizados,33763.0,
JOÃO FRANCISCO INÁCIO BRAZÃO,M,84 dias,8 dias,0 dias,50 reuniões,4 reuniões,0 reuniões,22/02/1962,"291.545,15","5.628,16","25.886,77","61.019,13","45.809,13","49.940,05","27.195,38","11.919,52","9.234,91","18.890,85","36.021,25",não contabilizados,não contabilizados,33763.0,"291.545,15","111.623,18","110.117,12","110.943,03","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18",não contabilizados,não contabilizados,33763.0,
JOÃO CHRISÓSTOMO DE MOURA,M,89 dias,3 dias,0 dias,68 reuniões,35 reuniões,0 reuniões,23/06/1959,"368.241,44","43.569,56","50.409,86","41.654,50","41.798,47","49.488,53","35.493,95","36.213,06","25.552,93","16.022,94","27.543,32",não contabilizados,não contabilizados,33763.0,"368.241,44","107.323,44","106.208,72","102.467,86","107.196,50","98.159,34","108.000,77","107.946,98","108.363,78","109.587,98","109.307,85",não contabilizados,não contabilizados,33763.0,
CLÁUDIO CAJADO SAMPAIO,M,81 dias,1 dias,10 dias,24 reuniões,1 reuniões,2 reuniões,01/12/1963,"319.967,50","25.338,77","40.167,84","53.444,52","42.649,60","27.640,24","33.006,34","28.893,21","31.157,71","9.849,66","27.619,61",não contabilizados,não contabilizados,33763.0,"319.967,50","111.538,31","107.663,10","107.365,01","108.851,14","111.611,11","111.611,11","111.611,11","111.611,11","111.611,11","109.134,89",não contabilizados,não contabilizados,33763.0,2
LUIZ ARMANDO SCHROEDER REIS,M,84 dias,4 dias,4 dias,40 reuniões,1 reuniões,0 reuniões,23/06/1957,"243.119,72","12.148,50","26.826,54","33.216,85","48.925,26","49.749,39","25.127,17","20.027,71","10.975,22","4.534,03","9.709,47",não contabilizados,não contabilizados,33763.0,"243.119,72","101.236,10","103.071,39","111.201,67","110.216,08","110.773,16","111.095,62","111.269,37","111.508,09","111.508,09","110.157,74",não contabilizados,não contabilizados,33763.0,
CLEBER VERDE CORDEIRO MENDES,M,91 dias,0 dias,1 dias,15 reuniões,19 reuniões,0 reuniões,10/05/1972,"300.663,96","14.582,42","18.944,35","47.074,36","45.118,81","99.276,90","13.222,16","16.834,74","8.782,05","4.751,79","32.076,38",não contabilizados,não contabilizados,33763.0,"300.663,96","110.588,35","105.407,76","109.632,33","97.860,55","111.342,09","111.580,81","111.580,81","111.580,81","111.580,81","110.238,31",não contabilizados,não contabilizados,33763.0,
MARCIO TADEU ANHAIA DE LEMOS,M,88 dias,4 dias,0 dias,61 reuniões,14 reuniões,0 reuniões,30/09/1965,"332.916,64","37.359,64","45.903,08","33.260,17","32.063,81","48.565,66","27.237,62","25.482,15","17.392,78","17.775,38","28.430,40",não contabilizados,não contabilizados,33763.0,"332.916,64","111.127,47","109.317,63","107.351,00","101.360,55","110.345,01","108.448,48","106.340,00","111.358,01","111.459,56","111.459,56",não contabilizados,não contabilizados,33763.0,
LUIS ANTONIO FRANCISCATTO COVATTI,M,89 dias,3 dias,0 dias,33 reuniões,12 reuniões,1 reuniões,25/07/1987,"354.596,62","39.901,49","64.904,76","45.888,49","45.547,51","61.494,69","34.354,07","35.673,58","7.646,43","612,00","17.873,82",não contabilizados,não contabilizados,33763.0,"354.596,62","110.922,09","111.617,12","107.422,09","109.771,87","110.840,89","108.844,64","97.398,86","110.212,41","110.288,12","110.463,07",não contabilizados,não contabilizados,33763.0,
CRISTIANO DUTRA VALE,M,80 dias,0 dias,12 dias,25 reuniões,3 reuniões,5 reuniões,10/04/1970,"339.850,13","20.452,98","49.639,93","30.338,48","43.108,68","49.829,99","38.126,87","26.721,78","30.470,89","32.141,42","18.563,85",não contabilizados,não contabilizados,33763.0,"339.850,13","110.040,22","103.847,89","110.040,22","105.919,51","103.859,15","98.892,22","97.650,62","104.977,00","107.755,43","110.676,12",não contabilizados,não contabilizados,33763.0,
GLAUSKSTON BATISTA RIOS,M,73 dias,8 dias,11 dias,10 reuniões,0 reuniões,4 reuniões,22/12/1973,"242.210,77","10.991,80","11.824,00","26.296,76","43.887,86","121.027,92","6.316,73","6.012,78","307,54","1,58","15.543,80",não contabilizados,não contabilizados,33763.0,"242.210,77","111.277,44","110.313,37","111.653,47","111.653,47","111.653,47","111.548,53","99.804,96","101.249,81","111.501,81","111.501,81",não contabilizados,não contabilizados,33763.0,
DAGOBERTO NOGUEIRA FILHO,M,80 dias,0 dias,12 dias,4 reuniões,0 reuniões,0 reuniões,21/07/1955,"392.765,26","33.968,57","43.913,03","47.315,35","46.082,30","39.158,72","43.879,61","41.129,03","39.057,91","33.635,67","24.585,90",não contabilizados,não contabilizados,33763.0,"392.765,26","111.166,05","111.277,60","111.277,60","111.277,60","111.277,60","111.277,60","110.863,55","110.859,05","110.859,05","111.211,03",não contabilizados,não contabilizados,33763.0,
JOSIAS MARIO DA VITORIA,M,89 dias,3 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,02/06/1971,"344.528,51","39.721,75","61.373,19","36.361,78","48.373,97","37.143,23","27.515,03","30.632,01","27.567,15","23.415,71","10.098,49",não contabilizados,não contabilizados,33763.0,"344.528,51","109.916,03","109.232,89","110.340,24","110.968,15","110.968,15","110.968,15","111.559,84","110.395,01","111.192,57","108.308,77",não contabilizados,não contabilizados,33763.0,
DAMIÃO FELICIANO DA SILVA,M,81 dias,1 dias,10 dias,29 reuniões,24 reuniões,7 reuniões,28/04/1952,"299.356,24","33.696,89","30.513,30","45.137,92","53.251,62","39.985,25","21.830,00","19.723,61","12.971,79","10.939,09","30.722,02",não contabilizados,não contabilizados,33763.0,"299.356,24","111.054,03","106.603,56","94.753,60","91.868,67","107.855,77","111.429,12","111.429,12","109.759,06","107.977,67","108.783,05",não contabilizados,não contabilizados,33763.0,
GLAUBER DE MEDEIROS BRAGA,M,88 dias,1 dias,3 dias,46 reuniões,16 reuniões,3 reuniões,26/06/1982,"249.152,28","17.256,11","31.524,84","46.990,34","41.104,72","43.161,14","26.199,00","21.782,77","8.772,04","3.355,87","9.005,45",não contabilizados,não contabilizados,33763.0,"249.152,28","111.635,78","111.635,78","111.635,78","100.164,04","106.112,74","110.185,24","108.335,96","106.862,15","108.335,96","108.335,96",não contabilizados,não contabilizados,33763.0,
GUSTAVO BONATO FRUET,M,91 dias,0 dias,1 dias,26 reuniões,1 reuniões,0 reuniões,18/04/1963,"374.089,71","51.898,88","69.808,76","56.026,78","68.837,63","47.334,53","23.097,35","16.604,91","8.174,92","2.810,21","29.123,81",não contabilizados,não contabilizados,33763.0,"374.089,71","105.805,10","106.054,78","106.054,78","106.054,78","106.054,78","106.019,19","103.701,22","103.701,22","108.481,10","111.352,39",não contabilizados,não contabilizados,33763.0,
LUIZ GONZAGA PATRIOTA,M,80 dias,6 dias,6 dias,28 reuniões,25 reuniões,7 reuniões,26/04/1946,"380.155,21","23.321,92","41.059,43","47.372,68","37.071,52","47.392,53","33.365,05","14.810,82","24.895,76","15.356,60","28.298,48",não contabilizados,não contabilizados,33763.0,"380.155,21","111.537,98","111.533,39","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83",não contabilizados,não contabilizados,33763.0,
GUTEMBERG REIS DE OLIVEIRA,M,80 dias,12 dias,0 dias,28 reuniões,19 reuniões,0 reuniões,09/09/1979,"333.354,79","31.811,03","37.058,19","39.957,54","35.397,82","39.003,29","35.548,76","35.184,90","23.289,89","18.535,79","35.373,06",não contabilizados,não contabilizados,33763.0,"333.354,79","111.586,82","111.586,82","110.729,78","110.789,77","111.586,82","111.146,85","111.458,26","111.246,74","111.586,82","111.586,82",não contabilizados,não contabilizados,33763.0,
JOÃO CARLOS SOARES GURGEL,M,91 dias,1 dias,0 dias,45 reuniões,9 reuniões,0 reuniões,02/12/1980,"304.315,99","30.854,01","50.602,99","53.138,70","41.056,98","41.300,20","29.009,30","16.063,62","23.894,73","4.534,47","13.654,20",não contabilizados,não contabilizados,33763.0,"304.315,99","108.173,01","94.076,65","98.798,22","97.414,57","105.810,92","106.438,09","111.465,45","110.479,86","110.137,04","100.537,37",não contabilizados,não contabilizados,33763.0,1
JOSÉ GUILHERME NEGRÃO PEIXOTO,M,92 dias,0 dias,0 dias,20 reuniões,12 reuniões,0 reuniões,13/11/1961,"258.696,75","20.164,29","32.606,94","20.921,67","27.096,29","44.132,42","31.276,49","28.081,91","26.381,12","12.089,61","14.392,38",não contabilizados,não contabilizados,33763.0,"258.696,75","108.657,03","110.067,97","109.025,07","109.756,34","109.965,86","101.721,15","95.424,72","107.166,92","106.267,03","106.325,54",não contabilizados,não contabilizados,33763.0,
